id,title,artist,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,2023-08-18,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,200600
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,2022-12-08,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,2022-05-20,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),Jung Kook,2023-11-03,0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,183551
3qQbCzHBycnDpGskqOWY0E,Ella Baila Sola,Eslabon Armado,2023-04-28,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,165671
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,2019-08-23,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,2022-12-02,0.716,0.613,1,-6.018,0,0.0522,0.391,0.0,0.0813,0.157,97.914,221520
1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),Rema,2023-04-27,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,239318
4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,2023-01-11,0.842,0.745,2,-4.231,0,0.0399,0.281,2.61e-05,0.118,0.53,122.06,214945
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,2022-10-21,0.633,0.648,4,-6.645,1,0.062,0.121,2.62e-06,0.161,0.49,96.888,200690
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,2013-09-09,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,183956
0DWdj2oZMBFSzRsi2Cvfzf,TQG,KAROL G,2023-02-24,0.587,0.647,4,-3.385,0,0.327,0.619,0.0,0.106,0.686,90.123,197933
2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,Yng Lvcas,2023-03-17,0.812,0.479,2,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,169.922,234353
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,2022-08-26,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238
2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,2016-11-24,0.586,0.525,1,-7.163,0,0.0615,0.111,0.0,0.134,0.508,133.629,260253
